"fileName","callerClass","callerMethod","line#","relationInfo","calleeName","calleeProperty,"TypeInfo","expressionValue"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitPropertyAccessExpression","23.00037","call.arguments[0]","/*<ChaiVagueErrorsRuleWalker>*/ this","isExpectInvocation","any","(/*Args:*/<any>node)"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitPropertyAccessExpression","23.00037","calls","/*<ChaiVagueErrorsRuleWalker>*/ this","isExpectInvocation","boolean","((/*Args:*/<any>node))"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitPropertyAccessExpression","23.00037","pickUpedName","/*<ChaiVagueErrorsRuleWalker>*/ this","isExpectInvocation","","((/*Args:*/<any>node))"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitPropertyAccessExpression","23.00045","Conditional","/ok|true|false|undefined|null/.test(node.name.getText())","","/*IfStatement*/ boolean/* no Else Clause*/","/ok|true|false|undefined|null/.test((/*Args:*/<any>node).name.getText())"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitPropertyAccessExpression","24.00063","calls","(/*Args:*/<any>node).name","getText","any","()"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitPropertyAccessExpression","24.00063","call.arguments[0]","/ok|true|false|undefined|null/","test","any","(/*Args:*/<any>node).name.getText()"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitPropertyAccessExpression","24.00063","calls","/ok|true|false|undefined|null/","test","boolean","((/*Args:*/<any>node).name.getText())"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitPropertyAccessExpression","25.00057","calls","(/*Args:*/<any>node)","getStart","any","()"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitPropertyAccessExpression","25.00074","calls","(/*Args:*/<any>node)","getWidth","any","()"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitPropertyAccessExpression","25.00091","call.arguments[0]","/*<ChaiVagueErrorsRuleWalker>*/ this","createFailure","any","(/*Args:*/<any>node).getStart()"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitPropertyAccessExpression","25.00091","call.arguments[1]","/*<ChaiVagueErrorsRuleWalker>*/ this","createFailure","any","(/*Args:*/<any>node).getWidth()"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitPropertyAccessExpression","25.00091","call.arguments[2]","/*<ChaiVagueErrorsRuleWalker>*/ this","createFailure","string","'Found chai call with vague failure message. Please add an explicit failure message'"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitPropertyAccessExpression","25.00091","calls","/*<ChaiVagueErrorsRuleWalker>*/ this","createFailure","any","((/*Args:*/<any>node).getStart(), (/*Args:*/<any>node).getWidth(), 'Found chai call with vague failure message. Please add an explicit failure message')"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitPropertyAccessExpression","25.00091","pickUpedName","/*<ChaiVagueErrorsRuleWalker>*/ this","createFailure","","((/*Args:*/<any>node).getStart(), (/*Args:*/<any>node).getWidth(), 'Found chai call with vague failure message. Please add an explicit failure message')"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitPropertyAccessExpression","25.00091","pickUpedName","Rule","FAILURE_STRING","","((/*Args:*/<any>node).getStart(), (/*Args:*/<any>node).getWidth(), 'Found chai call with vague failure message. Please add an explicit failure message')"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitPropertyAccessExpression","25.00091","call.arguments[0]","/*<ChaiVagueErrorsRuleWalker>*/ this","addFailure","any","this.createFailure((/*Args:*/<any>node).getStart(), (/*Args:*/<any>node).getWidth(), 'Found chai call with vague failure message. Please add an explicit failure message')"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitPropertyAccessExpression","25.00091","calls","/*<ChaiVagueErrorsRuleWalker>*/ this","addFailure","any","(this.createFailure((/*Args:*/<any>node).getStart(), (/*Args:*/<any>node).getWidth(), 'Found chai call with vague failure message. Please add an explicit failure message'))"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitPropertyAccessExpression","25.00091","pickUpedName","/*<ChaiVagueErrorsRuleWalker>*/ this","addFailure","","(this.createFailure((/*Args:*/<any>node).getStart(), (/*Args:*/<any>node).getWidth(), 'Found chai call with vague failure message. Please add an explicit failure message'))"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitPropertyAccessExpression","25.00091","pickUpedName","/*<ChaiVagueErrorsRuleWalker>*/ this","createFailure","","(this.createFailure((/*Args:*/<any>node).getStart(), (/*Args:*/<any>node).getWidth(), 'Found chai call with vague failure message. Please add an explicit failure message'))"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitPropertyAccessExpression","25.00091","pickUpedName","Rule","FAILURE_STRING","","(this.createFailure((/*Args:*/<any>node).getStart(), (/*Args:*/<any>node).getWidth(), 'Found chai call with vague failure message. Please add an explicit failure message'))"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitPropertyAccessExpression","28.00045","call.arguments[0]","super","visitPropertyAccessExpression","any","(/*Args:*/<any>node)"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitPropertyAccessExpression","28.00045","calls","super","visitPropertyAccessExpression","any","((/*Args:*/<any>node))"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".","32.00014","TS.MethodDefined","ChaiVagueErrorsRuleWalker","visitCallExpression","(node: any) => void","(@param)?\W+node *\W+ !! missing description.
"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","32.00044","define.Parameter","visitCallExpression","node","any","/*Args:*/<any>node"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","32.00067","Conditional","/*<ChaiVagueErrorsRuleWalker>*/ this.isExpectInvocation(node)","","/*IfStatement*/ boolean/* no Else Clause*/","this.isExpectInvocation((/*Args:*/<any>node))"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","33.00037","call.arguments[0]","/*<ChaiVagueErrorsRuleWalker>*/ this","isExpectInvocation","any","(/*Args:*/<any>node)"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","33.00037","calls","/*<ChaiVagueErrorsRuleWalker>*/ this","isExpectInvocation","boolean","((/*Args:*/<any>node))"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","33.00037","pickUpedName","/*<ChaiVagueErrorsRuleWalker>*/ this","isExpectInvocation","","((/*Args:*/<any>node))"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","33.00045","Conditional","node.expression.kind === SyntaxKind.current().PropertyAccessExpression","","/*IfStatement*/ boolean/* no Else Clause*/","(/*Args:*/<any>node).expression.kind === SyntaxKind.current().PropertyAccessExpression"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","34.00053","calls","SyntaxKind","current","SyntaxKind","()"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","34.00063","ref.varName","SyntaxKind.current()","PropertyAccessExpression","number",""
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","34.00063","Compare","node.expression","kind","=== /*number*/","SyntaxKind.current().PropertyAccessExpression"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","34.00063","CompareR","SyntaxKind.current()","","/*Reverse*/=== /*any*/","(/*Args:*/<any>node).expression.kind"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","35.00020","TS.VariableDeclaration","","propExpression","any",""
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","35.00101","Assign","propExpression","","any","(/*Args:*/<any>node).expression"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","35.00112","Conditional","/equal|equals|eql/.test(propExpression.name.getText())","","/*IfStatement*/ boolean/* no Else Clause*/","/equal|equals|eql/.test((/*Args:*/<any>node).expression.name.getText())"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","36.00065","calls","(/*Args:*/<any>node).expression.name","getText","any","()"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","36.00065","call.arguments[0]","/equal|equals|eql/","test","any","(/*Args:*/<any>node).expression.name.getText()"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","36.00065","calls","/equal|equals|eql/","test","boolean","((/*Args:*/<any>node).expression.name.getText())"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","36.00078","Conditional","node.arguments.length === 1","","/*IfStatement*/ boolean/* no Else Clause*/","(/*Args:*/<any>node).arguments.length === 1"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","37.00050","Compare","node.arguments","length","=== /*number*/","1"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","37.00050","CompareR","1","","/*Reverse*/=== /*any*/","(/*Args:*/<any>node).arguments.length"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","37.00055","Conditional","/true|false|null|undefined/.test(node.arguments[0].getText())","","/*IfStatement*/ boolean/* no Else Clause*/","/true|false|null|undefined/.test((/*Args:*/<any>node).arguments[0].getText())"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","38.00080","calls","(/*Args:*/<any>node).arguments[0]","getText","any","()"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","38.00080","call.arguments[0]","/true|false|null|undefined/","test","any","(/*Args:*/<any>node).arguments[0].getText()"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","38.00080","calls","/true|false|null|undefined/","test","boolean","((/*Args:*/<any>node).arguments[0].getText())"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","39.00069","calls","(/*Args:*/<any>node)","getStart","any","()"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","39.00086","calls","(/*Args:*/<any>node)","getWidth","any","()"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","39.00103","call.arguments[0]","/*<ChaiVagueErrorsRuleWalker>*/ this","createFailure","any","(/*Args:*/<any>node).getStart()"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","39.00103","call.arguments[1]","/*<ChaiVagueErrorsRuleWalker>*/ this","createFailure","any","(/*Args:*/<any>node).getWidth()"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","39.00103","call.arguments[2]","/*<ChaiVagueErrorsRuleWalker>*/ this","createFailure","string","'Found chai call with vague failure message. Please add an explicit failure message'"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","39.00103","calls","/*<ChaiVagueErrorsRuleWalker>*/ this","createFailure","any","((/*Args:*/<any>node).getStart(), (/*Args:*/<any>node).getWidth(), 'Found chai call with vague failure message. Please add an explicit failure message')"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","39.00103","pickUpedName","/*<ChaiVagueErrorsRuleWalker>*/ this","createFailure","","((/*Args:*/<any>node).getStart(), (/*Args:*/<any>node).getWidth(), 'Found chai call with vague failure message. Please add an explicit failure message')"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","39.00103","pickUpedName","Rule","FAILURE_STRING","","((/*Args:*/<any>node).getStart(), (/*Args:*/<any>node).getWidth(), 'Found chai call with vague failure message. Please add an explicit failure message')"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","39.00103","call.arguments[0]","/*<ChaiVagueErrorsRuleWalker>*/ this","addFailure","any","this.createFailure((/*Args:*/<any>node).getStart(), (/*Args:*/<any>node).getWidth(), 'Found chai call with vague failure message. Please add an explicit failure message')"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","39.00103","calls","/*<ChaiVagueErrorsRuleWalker>*/ this","addFailure","any","(this.createFailure((/*Args:*/<any>node).getStart(), (/*Args:*/<any>node).getWidth(), 'Found chai call with vague failure message. Please add an explicit failure message'))"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","39.00103","pickUpedName","/*<ChaiVagueErrorsRuleWalker>*/ this","addFailure","","(this.createFailure((/*Args:*/<any>node).getStart(), (/*Args:*/<any>node).getWidth(), 'Found chai call with vague failure message. Please add an explicit failure message'))"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","39.00103","pickUpedName","/*<ChaiVagueErrorsRuleWalker>*/ this","createFailure","","(this.createFailure((/*Args:*/<any>node).getStart(), (/*Args:*/<any>node).getWidth(), 'Found chai call with vague failure message. Please add an explicit failure message'))"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","39.00103","pickUpedName","Rule","FAILURE_STRING","","(this.createFailure((/*Args:*/<any>node).getStart(), (/*Args:*/<any>node).getWidth(), 'Found chai call with vague failure message. Please add an explicit failure message'))"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","45.00035","call.arguments[0]","super","visitCallExpression","any","(/*Args:*/<any>node)"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".visitCallExpression","45.00035","calls","super","visitCallExpression","any","((/*Args:*/<any>node))"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".","48.00012","TS.MethodDefined","ChaiVagueErrorsRuleWalker","isExpectInvocation","(node: any) => boolean","(@param)?\W+node *\W+ !! missing description.
@return  !! missing description.
"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".isExpectInvocation","48.00071","define.Parameter","isExpectInvocation","node","any","/*Args:*/<any>node"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".isExpectInvocation","49.00012","TS.VariableDeclaration","","callExpression","any",""
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".isExpectInvocation","49.00101","call.arguments[0]","ChaiVagueErrorsRuleWalker","getLeftMostCallExpression","any","(/*Args:*/<any>node)"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".isExpectInvocation","49.00101","calls","ChaiVagueErrorsRuleWalker","getLeftMostCallExpression","any","((/*Args:*/<any>node))"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".isExpectInvocation","49.00101","pickUpedName","ChaiVagueErrorsRuleWalker","getLeftMostCallExpression","","((/*Args:*/<any>node))"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".isExpectInvocation","49.00101","Assign","callExpression","","any","ChaiVagueErrorsRuleWalker.getLeftMostCallExpression((/*Args:*/<any>node))"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".isExpectInvocation","49.00101","pickUpedName","ChaiVagueErrorsRuleWalker","getLeftMostCallExpression","","ChaiVagueErrorsRuleWalker.getLeftMostCallExpression((/*Args:*/<any>node))"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".isExpectInvocation","49.00107","Conditional","callExpression == null","","/*IfStatement*/ boolean/* no Else Clause*/","ChaiVagueErrorsRuleWalker.getLeftMostCallExpression((/*Args:*/<any>node)) == null"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".isExpectInvocation","50.00030","Compare","callExpression","","== /*null*/","null"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".isExpectInvocation","50.00030","CompareR","null","","/*Reverse*/== /*any*/","ChaiVagueErrorsRuleWalker.getLeftMostCallExpression((/*Args:*/<any>node))"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".isExpectInvocation","51.00019","return","","","boolean","false"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".isExpectInvocation","53.00061","calls","ChaiVagueErrorsRuleWalker.getLeftMostCallExpression((/*Args:*/<any>node)).expression","getText","any","()"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".isExpectInvocation","53.00061","call.arguments[0]","/.*\.?expect/","test","any","ChaiVagueErrorsRuleWalker.getLeftMostCallExpression((/*Args:*/<any>node)).expression.getText()"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".isExpectInvocation","53.00061","calls","/.*\.?expect/","test","boolean","(ChaiVagueErrorsRuleWalker.getLeftMostCallExpression((/*Args:*/<any>node)).expression.getText())"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".isExpectInvocation","53.00061","return","","","boolean","/.*\.?expect/.test(ChaiVagueErrorsRuleWalker.getLeftMostCallExpression((/*Args:*/<any>node)).expression.getText())"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".","56.00019","TS.MethodDefined","ChaiVagueErrorsRuleWalker","getLeftMostCallExpression","(node: any) => any","(@param)?\W+node *\W+ !! missing description.
@return  !! missing description.
"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".getLeftMostCallExpression","56.00085","define.Parameter","getLeftMostCallExpression","node","any","/*Args:*/<any>node"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".getLeftMostCallExpression","57.00012","TS.VariableDeclaration","","leftSide","any",""
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".getLeftMostCallExpression","57.00038","Assign","leftSide","","any","(/*Args:*/<any>node).expression"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".getLeftMostCallExpression","57.00049","Conditional","leftSide != null","","/*WhileStatement*/ boolean","(/*Args:*/<any>node).expression != null"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".getLeftMostCallExpression","58.00027","Compare","leftSide","","!= /*null*/","null"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".getLeftMostCallExpression","58.00027","CompareR","null","","/*Reverse*/!= /*any*/","(/*Args:*/<any>node).expression"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".getLeftMostCallExpression","58.00035","Conditional","leftSide.kind === SyntaxKind.current().CallExpression","","/*IfStatement*/ boolean","(/*Args:*/<any>node).expression.kind === SyntaxKind.current().CallExpression"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".getLeftMostCallExpression","59.00046","calls","SyntaxKind","current","SyntaxKind","()"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".getLeftMostCallExpression","59.00056","ref.varName","SyntaxKind.current()","CallExpression","number",""
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".getLeftMostCallExpression","59.00056","Compare","leftSide","kind","=== /*number*/","SyntaxKind.current().CallExpression"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".getLeftMostCallExpression","59.00056","CompareR","SyntaxKind.current()","","/*Reverse*/=== /*any*/","(/*Args:*/<any>node).expression.kind"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".getLeftMostCallExpression","60.00043","return","","","any","(/*Args:*/<any>node).expression"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".getLeftMostCallExpression","61.00019","Conditional","leftSide.kind === (SyntaxKind.current().PropertyAccessExpression)","","/*IfStatement*/ boolean","(/*Args:*/<any>node).expression.kind === (SyntaxKind.current().PropertyAccessExpression)"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".getLeftMostCallExpression","61.00054","calls","SyntaxKind","current","SyntaxKind","()"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".getLeftMostCallExpression","61.00064","Compare","leftSide","kind","=== /*number*/","(SyntaxKind.current().PropertyAccessExpression)"
"../tslint-microsoft-contrib-master/src/chaiVagueErrorsRule.ts","ChaiVagueErrorsRuleWalker",".getLeftMostCallExpression","61.00064","CompareR","(SyntaxKind.current().PropertyAccessExpression)","","/*Reverse*/=== /*any*/","(/*Args:*/<any>node).expression.kind"
